event_id,origintime,magnitude,magnitude_source,max_mmi,latitude,longitude,depth_km,err_lat,err_lon,err_depth,err_origintime,state,county,status
9980,2019-01-25 09:27:06,0.2,OGS,None,36.46716667,-96.99066667,1.22,0.35,0.35,0.7,None,Oklahoma,Osage,Reviewed
5042,2019-01-25 12:46:11,2.5,OGS,None,37.0754509,-97.37773895,5.0,3.85,2.56,0.0,0.4219501,Kansas,Sumner,Preliminary
10456,2019-01-25 15:04:35,2.3,OGS,None,35.27833333,-97.844,7.01,0.28,0.28,0.5,None,Oklahoma,Grady,Reviewed
9981,2019-01-25 16:58:50,1.3,OGS,None,36.36433333,-99.1835,14.08,0.42,0.42,1.6,None,Oklahoma,Woodward,Reviewed
9982,2019-01-25 17:51:44,2.2,OGS,None,36.21583333,-97.57683333,6.5,0.14,0.14,0.4,None,Oklahoma,Logan,Reviewed
9983,2019-01-25 18:26:56,2.2,OGS,None,34.82166667,-97.8585,12.97,0.28,0.28,0.9,None,Oklahoma,Grady,Reviewed
9985,2019-01-25 18:32:40,3.3,USGS,None,37.05466667,-97.37416667,6.54,0.42,0.42,0.7,None,Kansas,Sumner,Reviewed
9987,2019-01-25 19:03:24,1.7,OGS,None,35.8245,-97.39733333,5.58,0.21,0.21,0.5,None,Oklahoma,Logan,Reviewed
9988,2019-01-25 21:55:12,2.0,OGS,None,34.6035,-96.25916667,5.2,0.71,0.71,0.7,None,Oklahoma,Coal,Reviewed
9990,2019-01-26 04:46:40,1.1,OGS,None,37.064,-97.65833333,6.73,0.35,0.35,0.6,None,Kansas,Sumner,Reviewed
9128,2019-01-26 07:40:27,1.5,OGS,None,35.09383333,-97.74666667,4.0,0.64,0.64,1.6,None,Oklahoma,McClain,Reviewed
5101,2019-01-26 10:23:05,2.4,OGS,None,37.30212784,-97.97451019,5.0,4.53,2.32,0.0,0.55313357,Kansas,Harper,Preliminary
9992,2019-01-26 11:56:59,0.7,OGS,None,34.84966667,-98.02683333,5.54,0.92,0.92,2.1,None,Oklahoma,Grady,Reviewed
9994,2019-01-26 13:31:25,0.2,OGS,None,36.44866667,-96.8855,3.05,0.21,0.21,1.2,None,Oklahoma,Pawnee,Reviewed
9996,2019-01-26 16:54:01,1.3,OGS,None,35.97433333,-97.203,7.82,0.21,0.21,0.5,None,Oklahoma,Logan,Reviewed
9997,2019-01-26 17:55:24,1.6,OGS,None,35.974,-97.20633333,8.01,0.21,0.21,1.1,None,Oklahoma,Logan,Reviewed
